mun_code,auprc,auroc,f1,n_obs,prevalence
68500,0.09090909090909091,0.0,0.16666666666666666,11,0.09090909090909091
97666,0.09090909090909091,0.0,0.0,11,0.09090909090909091
17873,0.1,0.09999999999999998,0.16666666666666666,11,0.09090909090909091
25214,0.1,0.09999999999999998,0.16666666666666666,11,0.09090909090909091
05021,0.1111111111111111,0.19999999999999996,0.0,11,0.09090909090909091
15522,0.1111111111111111,0.19999999999999996,0.0,11,0.09090909090909091
23466,0.1111111111111111,0.19999999999999996,0.0,11,0.09090909090909091
25394,0.1111111111111111,0.19999999999999996,0.0,11,0.09090909090909091
27745,0.1111111111111111,0.19999999999999996,0.0,11,0.09090909090909091
15442,0.125,0.4,0.2222222222222222,11,0.09090909090909091
23419,0.125,0.30000000000000004,0.16666666666666666,11,0.09090909090909091
54680,0.125,0.30000000000000004,0.0,11,0.09090909090909091
68020,0.125,0.30000000000000004,0.0,11,0.09090909090909091
68250,0.125,0.30000000000000004,0.2222222222222222,11,0.09090909090909091
68533,0.125,0.30000000000000004,0.16666666666666666,11,0.09090909090909091
76054,0.125,0.30000000000000004,0.0,11,0.09090909090909091
05576,0.14285714285714285,0.4,0.0,11,0.09090909090909091
15172,0.14285714285714285,0.4,0.0,11,0.09090909090909091
15293,0.14285714285714285,0.4,0.0,11,0.09090909090909091
15761,0.14285714285714285,0.4,0.0,11,0.09090909090909091
