mun_code,n_obs,n_positives,prevalence,auroc,auprc,f1,balanced_acc,precision,recall,status,iacv_r1_mean,iacv_r2_mean,IPM_2005,nbi_2005,women_share,discapital,altura,indrural,area_km2,performance_category,cluster
05001,11,2,0.18181818181818182,0.8333333333333334,0.7,0.3076923076923077,0.5,0.18181818181818182,1.0,valid,1.871764705882353,1.8804411764705884,32.397330000000004,12.424089750899132,0.5310722058823529,0.0,1475.0,0.017526804,5287.702842377261,Alto,2.0
05002,11,2,0.18181818181818182,0.7222222222222222,0.6428571428571428,0.3076923076923077,0.5,0.18181818181818182,1.0,valid,1.276470588235294,1.266029411764706,66.49687,33.851119628807744,0.4887283823529412,58.200874,2275.0,0.6903057,46.160965794768615,Alto,1.0
05004,11,1,0.09090909090909091,0.7,0.25,0.0,0.5,0.0,0.0,valid,0.7024999999999999,0.7024999999999999,52.529,28.538283062645007,0.4700867647058824,63.854633,1900.0,0.6810409,9.279863481228668,Bajo,1.0
05021,11,1,0.09090909090909091,0.19999999999999996,0.1111111111111111,0.0,0.2,0.0,0.0,valid,0.7155882352941176,0.7685294117647059,60.08607,33.13609467455622,0.5037301470588236,61.114216,1750.0,0.5031447,31.28476821192053,Bajo,1.0
05030,11,4,0.36363636363636365,0.6071428571428572,0.475,0.6666666666666666,0.7142857142857143,0.5,1.0,valid,2.2925000000000004,2.3105882352941176,46.55564,27.06904491504551,0.506797794117647,29.878857,1400.0,0.48186338,319.0705882352941,Medio,2.0
05031,11,1,0.09090909090909091,1.0,1.0,0.2,0.6,0.1111111111111111,1.0,valid,2.4801470588235297,2.472941176470588,68.393,45.285489496430046,0.4974483823529412,105.13087,1500.0,0.46718636,18.73611111111111,Alto,1.0
05034,11,4,0.36363636363636365,0.7857142857142857,0.6916666666666667,0.4,0.625,1.0,0.25,valid,3.2455882352941177,3.2211764705882353,63.70232,30.493140161017763,0.48067485294117646,76.31038,1350.0,0.5389387,93.2650334075724,Alto,2.0
05036,11,3,0.2727272727272727,0.875,0.7555555555555555,0.4,0.6041666666666666,0.5,0.3333333333333333,valid,2.9069117647058826,2.992205882352941,67.05591,25.972772326728062,0.4994292647058824,19.257677,1950.0,0.45687738,67.41379310344827,Alto,2.0
05038,11,4,0.36363636363636365,0.5714285714285714,0.44047619047619047,0.0,0.35714285714285715,0.0,0.0,valid,2.8402941176470584,2.8569117647058824,80.32694000000001,55.15901917941248,0.49633014705882356,72.68953,1675.0,0.8325745,31.104591836734695,Medio,0.0
05040,11,2,0.18181818181818182,0.8888888888888888,0.75,0.0,0.5,0.0,0.0,valid,4.723676470588235,4.857058823529411,74.28304,48.14006650041563,0.4816545588235294,117.60969,1550.0,0.6483751,10.955770559778852,Alto,0.0
05042,11,3,0.2727272727272727,0.7916666666666666,0.5555555555555556,0.6666666666666666,0.8125,0.5,1.0,valid,2.3529411764705883,2.3166176470588233,60.44807,44.10495423308613,0.5014979411764706,42.07378,570.0,0.4046195,47.00801603206413,Medio,2.0
05044,11,2,0.18181818181818182,0.9444444444444444,0.8333333333333333,0.36363636363636365,0.6111111111111112,0.2222222222222222,1.0,valid,1.7252941176470589,1.7619117647058824,79.59571,51.33631800298467,0.4863525,29.099184,625.0,0.84423465,26.6796875,Alto,1.0
05045,11,4,0.36363636363636365,0.6428571428571429,0.5238095238095238,0.5333333333333333,0.5,0.36363636363636365,1.0,valid,2.045147058823529,2.0533823529411763,52.433339999999994,24.533834503697136,0.5077766176470588,209.22433,28.0,0.14852072,151.0329489291598,Medio,2.0
05051,11,3,0.2727272727272727,0.75,0.6428571428571428,0.42857142857142855,0.5,0.2727272727272727,1.0,valid,0.8069117647058823,0.790735294117647,82.55703,72.39527088575151,0.49346573529411764,269.67438,6.0,0.6026742,40.70891364902507,Alto,0.0
05055,11,3,0.2727272727272727,0.75,0.6333333333333333,0.5,0.6458333333333333,0.4,0.6666666666666666,valid,1.465,1.3088235294117647,70.82039999999999,38.96526237989653,0.4865789705882353,92.318634,1700.0,0.718462,37.311284046692606,Alto,1.0
05059,11,5,0.45454545454545453,1.0,1.0,0.8888888888888888,0.9,1.0,0.8,valid,2.1261764705882356,2.1207352941176474,78.22581,39.83084185680566,0.5013001470588235,21.414736,1500.0,0.660893,53.729729729729726,Alto,2.0
05079,11,3,0.2727272727272727,0.9166666666666666,0.8666666666666667,0.5,0.625,0.3333333333333333,1.0,valid,2.6416176470588235,2.6705882352941175,46.99534,21.7287373181744,0.5060864705882353,40.017323,1305.0,0.5615622,209.6346153846154,Alto,2.0
05086,11,2,0.18181818181818182,0.8333333333333334,0.5,0.0,0.5,0.0,0.0,valid,1.8730882352941176,1.849264705882353,67.20013,29.049466537342383,0.491372205882353,38.483913,2550.0,0.728022,21.200716845878137,Medio,1.0
05088,11,4,0.36363636363636365,0.8571428571428572,0.7708333333333333,0.5333333333333333,0.5,0.36363636363636365,1.0,valid,1.100735294117647,1.098529411764706,31.30764,10.582630185837258,0.5189648529411766,11.407896,1447.0,0.036213927,2647.6688741721855,Alto,2.0
05091,11,3,0.2727272727272727,1.0,1.0,0.0,0.5,0.0,0.0,valid,5.459705882352941,5.4425,72.69185,31.245003996802556,0.4737138235294117,72.28753,1500.0,0.62814754,67.72941176470589,Alto,0.0
05093,11,2,0.18181818181818182,0.7777777777777778,0.41666666666666663,0.0,0.5,0.0,0.0,valid,2.725735294117647,2.7425,75.44082,45.356280193236714,0.48909117647058825,33.65727,1600.0,0.6915396,61.29019607843137,Medio,1.0
