Feature,Importance
year_normalized,0.16551846
iacv2_r4,0.038878746
t_01_r3,0.035571367
iacv2_r1,0.032375466
oro_mean_r1,0.024640132
iacv2_r2,0.02396811
t_01_n_mean_r2,0.023648093
iacv_n_mean_r4,0.02010464
t_14_n_mean_r2,0.019413684
ntl_log_mean_q_tendencia,0.017389277
iacv2_n_mean_r3,0.01716543
iacv2_n_mean_r1,0.016519168
distancia_mercado,0.01624377
iacv_n_mean_r1,0.01590525
iacv2_r3,0.014882464
t_01_n_mean_r3,0.014831052
t_04_n_mean_r3,0.014714316
dept_code,0.014439341
ntl_trend_q_volatilidad,0.01433313
ia_volatilidad,0.013765434
population,0.012982308
iacv_r2,0.012977185
t_03_volatilidad,0.012413425
t_13_n_mean_r3,0.01239065
t_08_n_mean_r1,0.012246702
ntl_zscore_q_r1,0.011247874
indrural,0.011214243
t_01_r2,0.010483821
t_14_r3,0.010321677
ntl_last_q_r4,0.010289489
altura,0.010229634
t_13_r1,0.009675009
covid_r2,0.009597853
t_13_r3,0.009558942
iacv_n_mean_r3,0.009314715
delta_nbi,0.009105663
t_04_n_mean_r4,0.008985279
t_13_tendencia,0.008861131
t_01_r1,0.008749571
ntl_sum_q_r2,0.008746381
petroleo_crudo_mean_r1,0.008710905
ntl_sum_q_r3,0.008707267
t_11_n_mean_r2,0.008694028
t_09_r1,0.008506619
ntl_log_median_q_tendencia,0.008473798
oro_median_r1,0.008343124
t_01_n_mean_r1,0.00831114
ntl_mean_q_tendencia,0.008143216
t_14_tendencia,0.007983037
iacv2_n_mean_r2,0.007898736
covid_d_r1,0.0077241287
t_14_n_mean_r3,0.007672413
ntl_delta_q_r4,0.007551769
ntl_log_sum_q_tendencia,0.007303485
t_03_n_mean_r3,0.007228092
iacv_r3,0.0070475875
t_08_volatilidad,0.006858844
ntl_sum_q_r4,0.006323496
t_08_n_mean_r4,0.006139477
t_04_n_mean_r1,0.005892991
t_09_tendencia,0.0058679893
ntl_sum_q_tendencia,0.0057374197
covid_r1,0.0053358804
t_09_n_mean_r4,0.004800154
ntl_zscore_q_r2,0.004639433
t_10_r1,0.004591033
t_16_r2,0.004093152
t_05_n_mean_r4,0.003866096
t_01_r4,0.0038142663
t_04_aceleracion,0.0036148636
t_03_n_mean_r2,0.0035125734
t_15_volatilidad,0.003469104
ntl_prop_imputado_q_r3,0.0033782877
t_05_r3,0.0032440044
ntl_meses_validos_q_tendencia,0.0031348574
t_02_r2,0.0030261057
t_04_zscore_4q,0.0028744007
t_04_tendencia,0.0028454298
t_05_n_mean_r1,0.0026240714
t_13_volatilidad,0.0025818031
t_07_r1,0.002419633
t_03_n_mean_r1,0.002413796
t_05_r4,0.00090010365
iacv_r1,2.4948813e-06
ntl_sum_q_volatilidad,0.0
t_17_tendencia,0.0
ntl_mean_q_r1,0.0
ntl_mean_q_r2,0.0
ntl_mean_q_r3,0.0
ntl_mean_q_r4,0.0
ntl_median_q_r1,0.0
ntl_median_q_r2,0.0
ntl_median_q_r3,0.0
ntl_median_q_r4,0.0
ntl_sum_q_r1,0.0
cafe_arabica_mean_r1,0.0
petroleo_crudo_median_r1,0.0
covid_d_r2,0.0
ntl_ma2q_volatilidad,0.0
ntl_sd_q_r1,0.0
ntl_sd_q_r2,0.0
ntl_sd_q_r3,0.0
ntl_sd_q_r4,0.0
ntl_cv_q_r1,0.0
ntl_cv_q_r2,0.0
ntl_cv_q_r3,0.0
ntl_cv_q_r4,0.0
ntl_trend_q_r1,0.0
ntl_trend_q_r2,0.0
ntl_trend_q_r3,0.0
ntl_trend_q_r4,0.0
t_17_volatilidad,0.0
t_16_volatilidad,0.0
ntl_last_q_r2,0.0
t_16_tendencia,0.0
t_05_zscore_4q,0.0
trim_desde_paz,0.0
quarter_cos,0.0
t_05_fue_shock_r1,0.0
t_07_tendencia,0.0
quarter_sin,0.0
t_07_volatilidad,0.0
t_08_tendencia,0.0
women_share,0.0
delta_ipm_ledu_p,0.0
delta_ipm,0.0
t_09_volatilidad,0.0
t_10_tendencia,0.0
t_10_volatilidad,0.0
t_11_tendencia,0.0
t_11_volatilidad,0.0
t_12_tendencia,0.0
t_12_volatilidad,0.0
disbogota,0.0
dismdo,0.0
discapital,0.0
t_14_volatilidad,0.0
areaoficialkm2,0.0
t_15_tendencia,0.0
cafe_arabica_median_r1,0.0
ntl_last_q_r1,0.0
ntl_last_q_r3,0.0
ntl_median_q_volatilidad,0.0
ntl_delta_q_tendencia,0.0
ntl_pct_change_q_r1,0.0
ntl_pct_change_q_r2,0.0
ntl_pct_change_q_r3,0.0
ntl_log_sum_q_volatilidad,0.0
ntl_pct_change_q_r4,0.0
ntl_log_mean_q_volatilidad,0.0
ntl_prop_imputado_q_volatilidad,0.0
ntl_prop_imputado_q_tendencia,0.0
ntl_zscore_q_r3,0.0
ntl_zscore_q_r4,0.0
ntl_ma2q_r1,0.0
t_05_pos_relativa,0.0
ntl_ma2q_r2,0.0
ntl_ma2q_r3,0.0
ntl_meses_validos_q_volatilidad,0.0
ntl_last_q_volatilidad,0.0
ntl_last_q_tendencia,0.0
ntl_ma2q_r4,0.0
ntl_trend_q_tendencia,0.0
ntl_cv_q_volatilidad,0.0
ntl_cv_q_tendencia,0.0
ntl_sd_q_volatilidad,0.0
ntl_sd_q_tendencia,0.0
ntl_mean_q_volatilidad,0.0
ntl_median_q_tendencia,0.0
ntl_log_median_q_volatilidad,0.0
ntl_delta_q_r3,0.0
ntl_ma2q_tendencia,0.0
ntl_delta_q_r2,0.0
ntl_meses_validos_q_r1,0.0
ntl_meses_validos_q_r2,0.0
ntl_meses_validos_q_r3,0.0
ntl_meses_validos_q_r4,0.0
ntl_prop_imputado_q_r1,0.0
ntl_prop_imputado_q_r2,0.0
ntl_zscore_q_volatilidad,0.0
ntl_prop_imputado_q_r4,0.0
ntl_log_mean_q_r1,0.0
ntl_zscore_q_tendencia,0.0
ntl_pct_change_q_volatilidad,0.0
ntl_log_mean_q_r2,0.0
ntl_log_mean_q_r3,0.0
ntl_pct_change_q_tendencia,0.0
ntl_log_mean_q_r4,0.0
ntl_log_sum_q_r1,0.0
ntl_log_sum_q_r2,0.0
ntl_log_sum_q_r3,0.0
ntl_log_sum_q_r4,0.0
ntl_log_median_q_r1,0.0
ntl_log_median_q_r2,0.0
ntl_log_median_q_r3,0.0
ntl_delta_q_volatilidad,0.0
ntl_log_median_q_r4,0.0
ntl_delta_q_r1,0.0
t_05_aceleracion,0.0
t_01_volatilidad,0.0
t_05_volatilidad,0.0
t_02_n_mean_r1,0.0
iacv2_n_mean_r4,0.0
iacv_n_mean_r2,0.0
t_17_r4,0.0
t_17_r3,0.0
t_17_r2,0.0
t_17_r1,0.0
t_16_r4,0.0
t_16_r3,0.0
t_16_r1,0.0
t_15_r4,0.0
t_15_r3,0.0
t_15_r2,0.0
t_15_r1,0.0
t_14_r4,0.0
t_14_r2,0.0
t_01_n_mean_r4,0.0
t_02_n_mean_r2,0.0
t_13_r4,0.0
t_02_n_mean_r3,0.0
t_10_n_mean_r1,0.0
t_09_n_mean_r3,0.0
t_09_n_mean_r2,0.0
t_09_n_mean_r1,0.0
t_08_n_mean_r3,0.0
t_08_n_mean_r2,0.0
t_07_n_mean_r4,0.0
t_07_n_mean_r3,0.0
t_07_n_mean_r2,0.0
t_07_n_mean_r1,0.0
t_05_n_mean_r3,0.0
t_05_n_mean_r2,0.0
t_04_n_mean_r2,0.0
t_03_n_mean_r4,0.0
t_02_n_mean_r4,0.0
t_14_r1,0.0
t_13_r2,0.0
t_05_tendencia,0.0
t_07_r4,0.0
t_07_r2,0.0
t_05_r2,0.0
t_05_r1,0.0
t_04_r4,0.0
t_04_r3,0.0
t_04_r2,0.0
t_04_r1,0.0
t_03_r4,0.0
t_03_r3,0.0
t_03_r2,0.0
t_03_r1,0.0
t_02_r4,0.0
t_02_r3,0.0
t_02_r1,0.0
iacv_r4,0.0
t_07_r3,0.0
t_08_r1,0.0
t_12_r4,0.0
t_08_r2,0.0
t_12_r3,0.0
t_12_r2,0.0
t_12_r1,0.0
t_11_r4,0.0
t_11_r3,0.0
t_11_r2,0.0
t_11_r1,0.0
t_10_r4,0.0
t_10_r3,0.0
t_10_r2,0.0
t_09_r4,0.0
t_09_r3,0.0
t_09_r2,0.0
t_08_r4,0.0
t_08_r3,0.0
t_10_n_mean_r2,0.0
t_10_n_mean_r3,0.0
t_10_n_mean_r4,0.0
t_01_pos_relativa,0.0
iif_fue_shock_r1,0.0
iif_zscore_4q,0.0
iif_aceleracion,0.0
iif_pos_relativa,0.0
iif_volatilidad,0.0
iif_tendencia,0.0
igc_fue_shock_r1,0.0
igc_zscore_4q,0.0
igc_aceleracion,0.0
igc_pos_relativa,0.0
igc_volatilidad,0.0
igc_tendencia,0.0
ia_fue_shock_r1,0.0
ia_zscore_4q,0.0
ia_aceleracion,0.0
t_01_tendencia,0.0
t_01_aceleracion,0.0
t_11_n_mean_r1,0.0
t_01_zscore_4q,0.0
t_04_fue_shock_r1,0.0
t_04_pos_relativa,0.0
t_04_volatilidad,0.0
t_03_fue_shock_r1,0.0
t_03_zscore_4q,0.0
t_03_aceleracion,0.0
t_03_pos_relativa,0.0
t_03_tendencia,0.0
t_02_fue_shock_r1,0.0
t_02_zscore_4q,0.0
t_02_aceleracion,0.0
t_02_pos_relativa,0.0
t_02_volatilidad,0.0
t_02_tendencia,0.0
t_01_fue_shock_r1,0.0
ia_pos_relativa,0.0
ia_tendencia,0.0
iacv2_fue_shock_r1,0.0
iacv2_zscore_4q,0.0
t_15_n_mean_r4,0.0
t_15_n_mean_r3,0.0
t_15_n_mean_r2,0.0
t_15_n_mean_r1,0.0
t_14_n_mean_r4,0.0
t_14_n_mean_r1,0.0
t_13_n_mean_r4,0.0
t_13_n_mean_r2,0.0
t_13_n_mean_r1,0.0
t_12_n_mean_r4,0.0
t_12_n_mean_r3,0.0
t_12_n_mean_r2,0.0
t_12_n_mean_r1,0.0
t_11_n_mean_r4,0.0
t_11_n_mean_r3,0.0
t_16_n_mean_r1,0.0
t_16_n_mean_r2,0.0
t_16_n_mean_r3,0.0
iacv_aceleracion,0.0
iacv2_aceleracion,0.0
iacv2_pos_relativa,0.0
iacv2_volatilidad,0.0
iacv2_tendencia,0.0
iacv_fue_shock_r1,0.0
iacv_zscore_4q,0.0
iacv_pos_relativa,0.0
t_16_n_mean_r4,0.0
iacv_volatilidad,0.0
iacv_tendencia,0.0
t_17_n_mean_r4,0.0
t_17_n_mean_r3,0.0
t_17_n_mean_r2,0.0
t_17_n_mean_r1,0.0
trim_desde_paz_sq,0.0
