Feature,Importance
dept_code,0.020787999
t_03_volatilidad,0.019112078
iacv_pos_relativa,0.01663922
t_11_n_mean_r1,0.01607043
iacv2_r2,0.016037175
t_11_n_mean_r2,0.015412406
t_09_n_mean_r1,0.014025784
iacv2_r1,0.012570229
iacv2_pos_relativa,0.012542009
iacv_n_mean_r1,0.012313233
ntl_sum_q_volatilidad,0.011198824
t_03_n_mean_r1,0.011010771
t_03_n_mean_r2,0.010677896
population,0.010559885
t_09_volatilidad,0.010438678
t_03_n_mean_r3,0.010240722
iacv2_n_mean_r1,0.008062982
ntl_sum_q_r4,0.0073025962
iacv2_r3,0.0071161124
t_01_r2,0.0069806054
t_09_n_mean_r3,0.0068715047
iacv_r3,0.006806771
iacv_r2,0.0063893064
ntl_log_sum_q_r4,0.0063594067
t_04_r3,0.0057294606
iacv2_r4,0.005594846
distancia_mercado,0.0055642533
t_11_volatilidad,0.00545931
disbogota,0.0053470437
t_11_n_mean_r3,0.005221914
t_10_n_mean_r3,0.005080477
t_10_n_mean_r1,0.004932284
ntl_log_sum_q_r2,0.00483435
t_17_n_mean_r2,0.0046966122
t_09_n_mean_r2,0.0046601593
areaoficialkm2,0.004632394
t_03_n_mean_r4,0.0045879176
ntl_log_sum_q_r1,0.00454486
t_17_n_mean_r3,0.0045016278
ntl_sum_q_r2,0.004485123
t_17_n_mean_r1,0.0043744473
t_10_n_mean_r2,0.0041985633
ntl_sum_q_r1,0.0041976064
igc_pos_relativa,0.004139518
iacv2_n_mean_r3,0.00401425
cafe_arabica_mean_r1,0.0039625354
indrural,0.00393014
ntl_log_median_q_r1,0.0039129127
t_10_n_mean_r4,0.0039042337
trim_desde_paz,0.0038754211
trim_desde_paz_sq,0.0038670949
cafe_arabica_median_r1,0.0036976153
t_11_n_mean_r4,0.003692935
ntl_ma2q_r1,0.0036396594
quarter_cos,0.0036197733
ntl_sum_q_r3,0.0036067066
iacv_r1,0.003336799
year_normalized,0.0033315227
t_01_r3,0.003272636
iacv_volatilidad,0.0032381115
t_09_n_mean_r4,0.0031960749
iacv2_n_mean_r4,0.0031675398
ntl_ma2q_r2,0.0031666425
t_02_n_mean_r2,0.0030883423
t_04_r4,0.0030818908
iacv2_volatilidad,0.003067137
t_09_r1,0.0030569916
ntl_meses_validos_q_r1,0.0030434441
t_14_n_mean_r2,0.0030297893
ntl_sd_q_r1,0.0030046287
t_01_n_mean_r1,0.0029854826
covid_r1,0.0029787987
ntl_log_sum_q_r3,0.002975471
t_01_r1,0.0029669954
t_13_r3,0.0029318675
iacv_n_mean_r3,0.0029120194
delta_ipm_ledu_p,0.0029108555
delta_ipm,0.0029086808
t_12_r2,0.0029045388
ntl_median_q_r1,0.0028990468
ntl_log_mean_q_r2,0.00288875
ntl_prop_imputado_q_tendencia,0.0028559582
t_07_r1,0.0028430002
t_12_r1,0.0028292488
iacv2_aceleracion,0.0028267838
iacv2_n_mean_r2,0.0028032335
ia_volatilidad,0.00280156
t_01_n_mean_r4,0.0027985063
petroleo_crudo_mean_r1,0.0027898764
t_04_r1,0.00277851
ntl_median_q_r2,0.0027709524
ntl_last_q_volatilidad,0.0027700113
t_11_r2,0.0027526708
ntl_log_median_q_r2,0.0027513395
t_01_volatilidad,0.002751122
ntl_mean_q_tendencia,0.0027339838
t_13_n_mean_r4,0.0027107294
t_13_r2,0.002709667
ntl_cv_q_r3,0.002697582
ntl_delta_q_r1,0.0026817103
altura,0.0026672054
t_17_volatilidad,0.0026660033
ntl_log_median_q_r4,0.002654378
t_13_r1,0.0026425566
t_15_r3,0.0026288503
t_15_n_mean_r2,0.0026286955
t_13_n_mean_r3,0.0026070143
ntl_ma2q_r4,0.0026010303
t_01_zscore_4q,0.002596478
oro_median_r1,0.0025946302
ntl_sd_q_volatilidad,0.0025944575
ntl_log_mean_q_volatilidad,0.0025698373
t_04_pos_relativa,0.0025631944
t_07_volatilidad,0.0025484895
ntl_zscore_q_r2,0.002537517
ntl_prop_imputado_q_r4,0.0025264968
t_01_r4,0.0025252227
covid_d_r2,0.0025193465
t_08_volatilidad,0.0025103947
t_01_n_mean_r3,0.0025093835
ntl_last_q_r1,0.0025083558
ntl_log_mean_q_r1,0.0025078938
ntl_mean_q_r4,0.0025071586
t_01_n_mean_r2,0.0025057148
ntl_last_q_r3,0.0025026093
