Feature,Importance
population,0.024127882
t_01_volatilidad,0.014374007
iacv2_n_mean_r3,0.011214461
t_01_n_mean_r1,0.010052162
t_01_zscore_4q,0.008110831
dept_code,0.0076481337
t_01_n_mean_r4,0.007607724
t_14_volatilidad,0.00680648
iacv2_n_mean_r1,0.006668707
iacv_n_mean_r1,0.0064614494
t_01_r4,0.006316165
t_01_tendencia,0.0059888675
t_01_pos_relativa,0.0057574143
t_01_n_mean_r2,0.0056905574
iacv2_pos_relativa,0.0056502144
iacv_n_mean_r3,0.005592263
quarter_sin,0.005572943
t_01_r1,0.0055465614
t_09_volatilidad,0.0054731076
t_09_n_mean_r3,0.005234653
t_01_n_mean_r3,0.0050943545
altura,0.004990139
t_01_r3,0.0048527
t_09_n_mean_r4,0.004762887
iacv2_zscore_4q,0.004760001
t_03_volatilidad,0.0047332603
t_10_r4,0.0046868185
iacv2_volatilidad,0.0046499767
t_17_n_mean_r3,0.004628817
indrural,0.004610751
t_11_r4,0.004599667
ntl_last_q_volatilidad,0.0045726323
t_10_n_mean_r4,0.0045294096
t_09_n_mean_r2,0.004400057
t_01_r2,0.004351803
t_03_r1,0.0043466133
ntl_meses_validos_q_r3,0.0043082084
iacv2_r3,0.0042945878
t_10_volatilidad,0.0042631896
t_10_n_mean_r3,0.0042087855
t_03_zscore_4q,0.0041863513
t_11_r3,0.004162399
iacv2_r2,0.004154389
t_14_r1,0.004148932
ntl_ma2q_r4,0.0040997877
t_09_r4,0.0040912535
t_11_r2,0.0040065777
ntl_median_q_volatilidad,0.0039889384
t_13_volatilidad,0.0039681126
ntl_last_q_r1,0.0039623366
ntl_log_sum_q_volatilidad,0.0038916515
ntl_sum_q_r3,0.0038701927
iacv2_tendencia,0.003856861
t_14_r2,0.0038540696
t_08_r2,0.003835546
ntl_meses_validos_q_r4,0.003828761
t_11_volatilidad,0.003816697
t_09_r1,0.0038149802
ntl_delta_q_volatilidad,0.0038127697
discapital,0.0038120125
women_share,0.0037785114
t_10_n_mean_r2,0.003768342
t_04_r2,0.0037566249
ntl_log_mean_q_volatilidad,0.0037494227
ntl_median_q_r4,0.0037343805
t_10_tendencia,0.0037102213
t_16_n_mean_r3,0.0037071644
iacv_n_mean_r4,0.0037069337
oro_mean_r1,0.003683675
ntl_last_q_r3,0.003679831
cafe_arabica_median_r1,0.0036769193
distancia_mercado,0.003670576
iacv_pos_relativa,0.003663297
t_09_r2,0.0036261813
t_17_tendencia,0.0036234062
ntl_ma2q_r1,0.0036214944
t_02_volatilidad,0.0036142522
t_12_volatilidad,0.0035989776
ntl_sum_q_r2,0.00359383
iacv_volatilidad,0.0035877093
t_03_aceleracion,0.0035863833
t_10_r3,0.0035757415
t_13_r4,0.003570245
petroleo_crudo_median_r1,0.003569366
t_14_n_mean_r1,0.0035633652
t_15_r4,0.0035606483
t_04_aceleracion,0.0035597833
t_03_r3,0.003556128
t_09_r3,0.0035463297
ntl_last_q_r2,0.0035142857
t_12_r2,0.0035137697
t_05_zscore_4q,0.003494546
iacv_tendencia,0.0034920734
ntl_ma2q_r2,0.0034707817
t_10_r2,0.0034689573
delta_nbi,0.0034483657
t_03_n_mean_r1,0.0034476903
t_07_volatilidad,0.0034259902
t_04_volatilidad,0.0034209948
covid_d_r1,0.003411213
ntl_sum_q_r1,0.0033983835
ntl_zscore_q_volatilidad,0.0033962172
t_10_n_mean_r1,0.0033927604
ntl_median_q_tendencia,0.0033687188
disbogota,0.0033483596
