Feature,Coeficiente,Abs_Coef,Odds_Ratio
iacv2_volatilidad,-0.2077345116105812,0.2077345116105812,0.8124226968763584
iacv_volatilidad,-0.15384029554850384,0.15384029554850384,0.857408942102519
t_01_volatilidad,-0.11908939242522563,0.11908939242522563,0.8877284410166386
t_01_n_mean_r1,0.08096460407998529,0.08096460407998529,1.0843325149405196
delta_ipm,-0.07642074336896022,0.07642074336896022,0.9264263368095349
t_01_r4,-0.0724698800582974,0.0724698800582974,0.9300937606082346
iacv2_n_mean_r1,0.06525108505644597,0.06525108505644597,1.0674270057097122
altura,-0.06066371892184816,0.06066371892184816,0.9411396740318763
ntl_log_sum_q_r1,0.054560268999242705,0.054560268999242705,1.0560761231468092
iacv2_pos_relativa,0.05402554487660805,0.05402554487660805,1.0555115647233801
iacv_pos_relativa,0.05235488493433463,0.05235488493433463,1.0537496360352412
indrural,-0.05219852771678909,0.05219852771678909,0.9491404174573054
t_01_n_mean_r3,0.04803676262173089,0.04803676262173089,1.049209226297384
t_04_r1,-0.047902898105141097,0.047902898105141097,0.9532263426678729
dismdo,-0.04777772111572953,0.04777772111572953,0.9533456721401721
iacv2_r3,-0.046493743506915215,0.046493743506915215,0.9545705328152252
t_05_volatilidad,0.04065430168393831,0.04065430168393831,1.0414920012743134
iacv_n_mean_r1,0.04002356351311375,0.04002356351311375,1.0408352996396666
dept_code,-0.03940743397747418,0.03940743397747418,0.9613589390452455
distancia_mercado,-0.039035678524602865,0.039035678524602865,0.9617163959121551
t_11_tendencia,-0.038428852293426394,0.038428852293426394,0.9623001677542665
ntl_meses_validos_q_r3,-0.038006089612932815,0.038006089612932815,0.9627070783598743
t_09_volatilidad,0.03735171045372548,0.03735171045372548,1.0380580525103085
iacv2_n_mean_r4,0.035900840010842656,0.035900840010842656,1.036553056804822
t_13_volatilidad,0.035617178096254684,0.035617178096254684,1.036259067878859
iacv2_r4,-0.03428221622273546,0.03428221622273546,0.9662987609666187
iacv2_n_mean_r2,0.03154811854480467,0.03154811854480467,1.0320510351948402
iacv2_r2,-0.0313461971923726,0.0313461971923726,0.9691400014448831
