Feature,Coeficiente,Abs_Coef,Odds_Ratio
DF_desemp_fisc,-0.22238889179430024,0.22238889179430024,0.8006039554776397
docen_total,-0.20119158613052845,0.20119158613052845,0.8177557458858665
iacv_r2,-0.14861644597260384,0.14861644597260384,0.8618996365852678
ipm_serv_pinf_p_2018,-0.14363240397501847,0.14363240397501847,0.8662061034629774
ipm_ti_p_2018,0.10282163937764446,0.10282163937764446,1.1082937154893084
iacv_r3,-0.10222454078077194,0.10222454078077194,0.9028268074713071
ipm_asisescu_p_2005,0.10124132402787717,0.10124132402787717,1.1065436451144266
alumn_total,-0.100901128527367,0.100901128527367,0.9040224104943622
ipm_hacinam_p_2018,-0.09291232103233686,0.09291232103233686,0.9112733963041364
altura,-0.0779645753691477,0.0779645753691477,0.924997193647279
t_01_r4,-0.07230510327678215,0.07230510327678215,0.9302470310919767
iacv_r4,-0.07171888753123253,0.07171888753123253,0.9307925164192763
iacv_r1,-0.06096199324802207,0.06096199324802207,0.9408589980910633
t_05_r1,-0.056848959183083095,0.056848959183083095,0.9447367524016251
y_corr_tribut_IyC,0.05288578721699995,0.05288578721699995,1.0543092226521324
indrural,-0.05276875294248722,0.05276875294248722,0.9485993479289495
petroleo_crudo_median,0.05057884164510223,0.05057884164510223,1.0518797920190968
dept_code,-0.05025874899272388,0.05025874899272388,0.9509833266854291
t_07_r4,0.04967703378779058,0.04967703378779058,1.050931626153679
t_13_r2,-0.0438300946252878,0.0438300946252878,0.9571165629071509
t_14_r2,0.0369197592506373,0.0369197592506373,1.0376097589131008
ipm_paredes_p_2018,0.036884442922519474,0.036884442922519474,1.037573114993465
ipm_excretas_p_2005,-0.03594138912527692,0.03594138912527692,0.9646968335514324
ia_r2,0.03561402831250813,0.03561402831250813,1.0362558038920302
t_09_r3,0.031116603602633384,0.031116603602633384,1.0316057858248573
ia_r1,0.030993339476645898,0.030993339476645898,1.0314786336761144
ipm_paredes_p_2005,0.029906670597785123,0.029906670597785123,1.0303583667355376
ipm_ti_p_2005,-0.02874849312936987,0.02874849312936987,0.9716608131080544
t_07_r3,0.027542489402594746,0.027542489402594746,1.0279252901108724
t_01_r3,-0.026880109723388706,0.026880109723388706,0.9734779450684962
ipm_accagua_p_2018,-0.026368834812872267,0.026368834812872267,0.973975787173995
t_11_r1,-0.026365982387341058,0.026365982387341058,0.9739785653713594
t_11_r4,0.025311379713534164,0.025311379713534164,1.0256344325640057
t_04_r4,-0.02417854112820437,0.02417854112820437,0.9761114181654111
coca,0.02302943740208925,0.02302943740208925,1.0232966622991522
t_05_r2,-0.02248486919392246,0.02248486919392246,0.9777660314696228
t_11_r2,0.021269451189299897,0.021269451189299897,1.0214972582095856
ipm_accsalud_p_2005,0.02090259525623636,0.02090259525623636,1.021122584609622
oro_median,0.020221465316036948,0.020221465316036948,1.0204273042596428
ipm_pisos_p_2005,-0.02000347198042512,0.02000347198042512,0.9801952700820569
t_09_r4,0.019000156821189794,0.019000156821189794,1.0191818084466993
ipm_hacinam_p_2005,-0.017720405751187503,0.017720405751187503,0.9824356773271435
t_04_r1,-0.01728947805547033,0.01728947805547033,0.9828591273013725
t_05_r4,-0.015325619826059839,0.015325619826059839,0.9847912198438296
t_08_r1,0.014919793562983024,0.014919793562983024,1.0150316492786975
t_10_r2,0.01467692066702813,0.01467692066702813,1.0147851555370875
t_10_r4,-0.01448388549275631,0.01448388549275631,0.9856205013931206
t_12_r4,0.01412114818698034,0.01412114818698034,1.014221322570415
ipm_rezagoescu_p_2018,0.013936064649626144,0.013936064649626144,1.0140336242708423
ia_r4,0.012688300687049642,0.012688300687049642,1.0127691387114504
t_13_r3,0.011292735637853197,0.011292735637853197,1.0113567392754368
t_14_r4,-0.010213722161220748,0.010213722161220748,0.9898382607687056
covid_d,0.0099269753058866,0.0099269753058866,1.0099764111727119
ipm_templeof_p_2018,-0.009910013465666967,0.009910013465666967,0.9901389289111464
t_14_r1,0.009600746585579523,0.009600746585579523,1.0096469815981703
t_03_r1,0.009242994852459814,0.009242994852459814,1.0092858432434526
cafe_arabica_median,-0.008092652027026458,0.008092652027026458,0.991940005327143
t_12_r2,0.00808141246270332,0.00808141246270332,1.0081141552195418
t_05_r3,-0.007208692046920413,0.007208692046920413,0.9928172282523774
ipm_rezagoescu_p_2005,-0.006859185645084781,0.006859185645084781,0.9931642848752271
t_17_r4,0.006363636326956879,0.006363636326956879,1.0063839272791866
t_16_r4,-0.006361587773464389,0.006361587773464389,0.993658604285494
areaoficialkm2,-0.005052791439790009,0.005052791439790009,0.9949599524377905
iif_r4,0.004559518344978574,0.004559518344978574,1.004569928764901
t_01_r1,-0.003756829681849795,0.003756829681849795,0.9962502183739019
population,-0.0037096701895581725,0.0037096701895581725,0.9962972021362523
dismdo,-0.003539311390584553,0.003539311390584553,0.9964669445891787
ipm_assalud_p_2005,0.003334893142452321,0.003334893142452321,1.0033404600852545
t_12_r3,0.0030363652989216713,0.0030363652989216713,1.0030409797252153
t_04_r2,-0.0028336977535618623,0.0028336977535618623,0.9971703133782445
t_16_r2,-0.0026542051061250477,0.0026542051061250477,0.9973493141819216
iif_r2,-0.0016035798038215665,0.0016035798038215665,0.9983977052432884
t_16_r1,-0.0015016448473336836,0.0015016448473336836,0.9984994820571494
t_10_r1,0.0014424144075539972,0.0014424144075539972,1.0014434551875675
t_17_r1,0.0013030699414578947,0.0013030699414578947,1.0013039193059812
igc_r2,0.0009630176683776778,0.0009630176683776778,1.0009634815187793
t_03_r4,0.0005285573223519377,0.0005285573223519377,1.0005286970333875
