Feature,Importance
iacv2_pos_relativa,0.027825115
iacv2_r1,0.011945558
population,0.011344501
iacv2_r2,0.009363993
t_01_r2,0.008158204
t_03_volatilidad,0.00707265
t_04_r1,0.006547336
dept_code,0.006309459
iacv2_n_mean_r2,0.0061830403
t_04_r4,0.006138343
iacv2_n_mean_r3,0.005162812
year_normalized,0.0050997427
trim_desde_paz_sq,0.0050271023
iacv_pos_relativa,0.004827805
trim_desde_paz,0.0046324604
iacv2_n_mean_r1,0.0044699768
t_09_n_mean_r1,0.0041485997
t_14_volatilidad,0.0040944996
iacv_n_mean_r2,0.0040589203
t_04_pos_relativa,0.003975683
t_02_n_mean_r1,0.0038778482
quarter_sin,0.0038438896
petroleo_crudo_median_r1,0.003842705
t_10_r2,0.0038145212
disbogota,0.0037157773
ntl_sum_q_r1,0.003702587
ntl_log_median_q_r4,0.0036923361
petroleo_crudo_mean_r1,0.0036856742
iacv2_r3,0.0036821691
ntl_sd_q_r2,0.0036611117
distancia_mercado,0.0036006258
ntl_delta_q_volatilidad,0.00359308
t_02_n_mean_r2,0.0035655412
t_04_r2,0.0035567593
t_04_volatilidad,0.0035470712
t_09_n_mean_r2,0.0035405047
iacv2_r4,0.0035376775
oro_median_r1,0.0035257102
ntl_last_q_r4,0.0034935027
t_09_n_mean_r3,0.0034699903
t_10_n_mean_r1,0.0034684076
ntl_sum_q_volatilidad,0.0034582939
t_13_r1,0.0034480733
ntl_sd_q_volatilidad,0.0034348778
ntl_mean_q_r3,0.0034198912
iacv2_fue_shock_r1,0.0034176738
t_01_n_mean_r3,0.0033943905
ntl_trend_q_volatilidad,0.003392956
t_11_n_mean_r4,0.003372859
women_share,0.0033680748
iacv2_n_mean_r4,0.003367875
ntl_ma2q_r4,0.003350266
iacv2_volatilidad,0.0033174176
t_02_n_mean_r4,0.0033167924
t_14_r3,0.0032985075
t_08_volatilidad,0.0032873817
t_01_r3,0.0032785088
ntl_log_sum_q_r2,0.003250938
t_01_n_mean_r2,0.0032505007
t_14_tendencia,0.0032423344
t_14_n_mean_r2,0.0032371709
ntl_zscore_q_r3,0.0032324644
ntl_sum_q_r2,0.003220801
t_01_pos_relativa,0.0032106757
t_13_r2,0.0031973256
t_04_n_mean_r3,0.0031821947
ntl_last_q_r3,0.003179141
altura,0.0031769322
cafe_arabica_mean_r1,0.003146215
ntl_ma2q_volatilidad,0.0031445376
t_13_volatilidad,0.00313519
t_13_n_mean_r1,0.0031334816
t_08_r3,0.0031233146
ntl_median_q_r4,0.0031199597
ntl_ma2q_tendencia,0.003117969
ntl_log_mean_q_volatilidad,0.00311556
iacv2_zscore_4q,0.0031117282
t_09_n_mean_r4,0.0031042523
iacv_r1,0.0030968036
t_07_n_mean_r4,0.0030953982
t_09_volatilidad,0.0030824444
t_11_n_mean_r1,0.0030754176
covid_r2,0.0030646974
ntl_log_median_q_tendencia,0.0030570657
delta_nbi,0.0030569432
t_09_r3,0.0030566542
t_01_aceleracion,0.0030487843
ntl_log_mean_q_r3,0.00304491
iacv_n_mean_r1,0.0030434409
ntl_meses_validos_q_r2,0.0030400709
ntl_last_q_tendencia,0.0030368655
iacv2_aceleracion,0.0030358338
ntl_log_mean_q_r1,0.0030337453
ntl_median_q_r3,0.0030305616
t_04_n_mean_r1,0.0030285812
ntl_zscore_q_r1,0.0030230961
t_13_n_mean_r3,0.003021361
t_16_n_mean_r1,0.0030089528
t_03_n_mean_r1,0.003004472
ntl_pct_change_q_volatilidad,0.003003956
ntl_delta_q_r1,0.0030014066
delta_ipm_ledu_p,0.0030011197
t_10_n_mean_r4,0.003000048
iacv2_tendencia,0.002994831
t_01_tendencia,0.0029898211
ntl_prop_imputado_q_r3,0.0029857291
areaoficialkm2,0.0029832886
ntl_log_median_q_r2,0.0029829212
cafe_arabica_median_r1,0.0029755435
ntl_cv_q_r4,0.0029746064
ntl_prop_imputado_q_r1,0.0029703483
covid_r1,0.0029606058
ntl_log_median_q_r3,0.002955244
t_08_n_mean_r1,0.0029535443
t_03_n_mean_r4,0.0029525047
t_03_n_mean_r3,0.002949938
t_13_n_mean_r2,0.0029468087
t_01_r1,0.0029367246
t_12_r2,0.0029312698
discapital,0.0029259436
t_15_n_mean_r1,0.0029250314
ntl_median_q_r2,0.0029227661
t_07_n_mean_r3,0.0029215307
ntl_log_median_q_volatilidad,0.0029208423
ntl_trend_q_tendencia,0.0029162052
ntl_sd_q_r1,0.0029151752
ntl_pct_change_q_r1,0.0029142306
t_14_r2,0.002911861
ntl_zscore_q_tendencia,0.0028980272
iacv_r3,0.002895299
t_13_n_mean_r4,0.0028943317
