Feature,Importance
iacv2_volatilidad,0.011717223859121646
iacv_volatilidad,0.011571546508546962
population,0.01037842966878193
t_01_volatilidad,0.007865793794693468
t_01_n_mean_r1,0.007535487111373454
iacv2_n_mean_r1,0.007242811150487171
iacv_n_mean_r1,0.007154919172214525
t_01_n_mean_r2,0.006582277503466225
iacv2_n_mean_r3,0.006482473660460586
t_01_n_mean_r3,0.006421462592325266
iacv_n_mean_r4,0.006388062198213179
iacv2_n_mean_r4,0.006194334570347292
iacv2_n_mean_r2,0.00613880910281227
iacv_n_mean_r3,0.006102756910138995
t_01_n_mean_r4,0.0060812613337952095
women_share,0.005959234224859558
iacv_n_mean_r2,0.0059478132034919825
t_13_volatilidad,0.005831892679414818
t_13_tendencia,0.005766640685331149
ntl_zscore_q_r3,0.005484537626297528
indrural,0.005439263853334283
delta_nbi,0.005433523105071208
ntl_zscore_q_r1,0.005415797325148383
ntl_zscore_q_r2,0.005394412316524587
iacv2_aceleracion,0.005384635084384379
t_12_n_mean_r1,0.005260003169719459
t_12_tendencia,0.0052595438254375935
t_13_n_mean_r2,0.005238520165223606
t_12_n_mean_r2,0.005229472610215035
iacv_aceleracion,0.005223259854324106
t_13_n_mean_r1,0.005193903751310067
delta_ipm,0.005159529661049206
t_14_n_mean_r2,0.005150730383852031
dismdo,0.005131677053212043
t_12_n_mean_r3,0.005112184636190359
t_14_n_mean_r3,0.005107652669535873
t_13_n_mean_r3,0.005101777678270484
disbogota,0.005092143727898427
t_13_n_mean_r4,0.005070345458111235
ntl_log_sum_q_tendencia,0.005068184336234589
iacv_tendencia,0.0050569759006492175
ntl_pct_change_q_r1,0.005046048552698223
ntl_cv_q_r1,0.005026436303473296
t_14_n_mean_r1,0.005020962681153976
areaoficialkm2,0.004985754220117367
ntl_trend_q_r3,0.004930555835319014
delta_ipm_ledu_p,0.004921311400537299
t_12_volatilidad,0.00491860851161606
t_04_n_mean_r1,0.004897590383065154
t_04_n_mean_r2,0.004886027238454421
ntl_cv_q_tendencia,0.004868450266153595
t_12_n_mean_r4,0.004855379157836353
ntl_sum_q_tendencia,0.004838755097246863
ntl_pct_change_q_r2,0.004821364983142971
ntl_delta_q_r1,0.004817761514984672
ntl_trend_q_r1,0.0047901350869585255
discapital,0.004786919436731764
ntl_cv_q_r2,0.004770620988893655
altura,0.0047388975124513085
iacv2_tendencia,0.004734625728110224
t_08_n_mean_r2,0.004726169749495685
ntl_trend_q_r2,0.004709629998727382
distancia_mercado,0.004702842388896888
t_08_n_mean_r3,0.004688704389939693
ntl_log_sum_q_volatilidad,0.004682917411687255
t_08_n_mean_r1,0.004678302881362166
t_14_volatilidad,0.004667192836259353
t_14_n_mean_r4,0.004658944147725319
ntl_pct_change_q_r3,0.004631477357230023
